user_id,date,record_count,estimated_emotion,mean_valence,std_valence
test00,2025-10-10,6,Positive,5.3950000000000005,1.393380780691337
test00,2025-10-11,7,Positive,6.6257142857142854,1.7843099239655382
test00,2025-10-13,9,Positive,5.40888888888889,1.2041536908182076
test00,2025-10-14,23,Positive,5.651739130434783,1.6846598042710232
test00,2025-10-15,17,Negative,5.447058823529411,1.894204201986557
test00,2025-10-16,10,Negative,6.382,1.6294702615676462
test00,2025-10-17,8,Negative,5.1725,1.395940543146448
test00,2025-10-18,9,Positive,4.437777777777778,1.5029369396100571
test00,2025-10-19,6,Negative,5.1916666666666655,1.2645064913501498
test00,2025-10-20,6,Negative,4.483333333333333,1.2959269526739023
test00,2025-10-21,5,Positive,7.781999999999999,0.043817804600413325
test00,2025-10-22,9,Negative,5.4877777777777785,1.300622714104457
test00,2025-10-23,12,Positive,5.7875000000000005,1.5571017658107351
test00,2025-10-24,11,Positive,6.478181818181818,1.7322749099482921
test00,2025-10-25,12,Positive,6.180833333333332,1.577831989750109
test00,2025-10-27,13,Negative,5.100769230769231,1.442032486564603
test00,2025-10-28,10,Negative,5.2,1.6513361593301077
test00,2025-10-29,8,Positive,5.92375,1.5913600427666537
test00,2025-10-30,6,Positive,6.278333333333332,1.786610384685667
test00,2025-10-31,10,Positive,5.585,1.7775529371707737
test00,2025-11-01,8,Positive,7.04625,1.0841051280071636
test00,2025-11-02,14,Positive,6.059285714285714,1.60502798578867
test00,2025-11-03,15,Negative,5.256,1.8535749243016857
test00,2025-11-04,10,Positive,5.987,1.492366130233016
test00,2025-11-05,5,Positive,5.842,1.7761390711315375
test00,2025-11-06,9,Negative,5.392222222222222,1.4508512826766375
test00,2025-11-07,7,Positive,5.071428571428571,2.012911892188599
test00,2025-11-08,1,Neutral,4.92,0.0
test00,2025-11-10,6,Negative,4.614999999999999,1.6859389075527025
test00,2025-11-12,9,Positive,5.315555555555556,1.5476604206924003
test00,2025-11-13,1,Negative,2.88,0.0
test00,2025-11-14,4,Positive,6.047499999999999,1.2174118722382605
